room_id,day,slot,course
UB-1302,Mon,0,ENG101
TP2-0915,Mon,0,PHY102
UB-0204,Mon,0,PHY102
TP2-0817,Mon,0,CS101
TP2-0602,Mon,0,PHY102
UB-0601,Mon,0,ENG101
TP2-0607,Mon,0,PHY102
TP2-1206,Mon,0,MATH201
TP2-0906,Mon,0,PHY102
TP2-1510,Mon,0,MATH201
TP2-0909,Mon,0,CS101
TP-1312,Mon,0,PHY102
UB-0410,Mon,0,CS101
TP2-0911,Mon,0,CS101
TP2-1014,Mon,0,PHY102
TP2-1307,Mon,0,MATH201
UB-0113,Mon,0,PHY102
TP-0209,Mon,0,MATH201
TP-0509,Mon,0,CS101
TP2-0619,Mon,0,ENG101
UB-1507,Mon,0,PHY102
TP-1304,Mon,0,ENG101
TP2-0613,Mon,0,MATH201
TP-0601,Mon,0,PHY102
UB-1007,Mon,0,ENG101
TP2-0118,Mon,0,ENG101
UB-0103,Mon,0,PHY102
UB-1506,Mon,0,ENG101
UB-0415,Mon,0,PHY102
UB-0712,Mon,0,ENG101
UB-0801,Mon,0,CS101
UB-1301,Mon,0,PHY102
UB-0115,Mon,0,CS101
TP-0611,Mon,0,CS101
UB-0109,Mon,0,ENG101
TP2-1401,Mon,0,MATH201
TP2-0215,Mon,0,CS101
TP-0504,Mon,0,CS101
UB-0619,Mon,0,CS101
UB-0719,Mon,0,MATH201
UB-1110,Mon,0,MATH201
TP-1302,Mon,0,CS101
UB-1406,Mon,0,MATH201
UB-0403,Mon,0,MATH201
UB-1407,Mon,0,MATH201
TP2-0816,Mon,0,PHY102
UB-0313,Mon,0,CS101
TP2-1015,Mon,0,MATH201
UB-0214,Mon,0,PHY102
UB-1316,Mon,0,ENG101
UB-0913,Mon,0,ENG101
UB-0411,Mon,0,MATH201
UB-1113,Mon,0,CS101
TP2-0903,Mon,0,MATH201
UB-0413,Mon,0,ENG101
UB-1116,Mon,0,CS101
TP2-0810,Mon,0,CS101
TP-0303,Mon,0,ENG101
UB-0607,Mon,0,PHY102
TP2-1418,Mon,0,PHY102
TP2-1005,Mon,0,MATH201
UB-0617,Mon,0,CS101
UB-0508,Mon,0,MATH201
UB-1019,Mon,0,CS101
UB-0513,Mon,0,ENG101
TP2-0617,Mon,0,CS101
TP2-1520,Mon,0,CS101
UB-1112,Mon,0,ENG101
UB-0918,Mon,0,PHY102
UB-0811,Mon,0,ENG101
TP2-0819,Mon,0,CS101
UB-0810,Mon,0,ENG101
UB-0116,Mon,0,CS101
TP-0903,Mon,0,PHY102
UB-1011,Mon,0,PHY102
UB-1018,Mon,0,CS101
TP2-0809,Mon,0,PHY102
UB-1001,Mon,0,ENG101
TP2-0919,Mon,0,PHY102
UB-0717,Mon,0,MATH201
TP-1504,Mon,0,PHY102
UB-0114,Mon,0,MATH201
TP2-1006,Mon,0,ENG101
TP-1412,Mon,0,PHY102
TP2-1110,Mon,0,PHY102
TP2-1215,Mon,0,PHY102
UB-1312,Mon,0,ENG101
UB-1114,Mon,0,ENG101
TP2-1103,Mon,0,MATH201
TP2-0918,Mon,0,CS101
UB-0205,Mon,0,ENG101
TP2-0217,Mon,0,PHY102
TP2-1004,Mon,0,MATH201
UB-0713,Mon,0,PHY102
TP2-0001,Mon,0,PHY102
UB-0917,Mon,0,ENG101
UB-1120,Mon,0,CS101
TP2-0811,Mon,0,PHY102
TP2-1213,Mon,0,ENG101
UB-0106,Mon,0,MATH201
TP2-0117,Mon,0,PHY102
UB-1402,Mon,0,MATH201
TP-0712,Mon,0,ENG101
UB-0209,Mon,0,ENG101
TP-1512,Mon,0,ENG101
TP-0909,Mon,0,ENG101
TP2-1214,Mon,0,ENG101
UB-0517,Mon,0,CS101
TP2-0901,Mon,0,MATH201
UB-0903,Mon,0,CS101
UB-0303,Mon,0,MATH201
TP-0111,Mon,0,PHY102
TP2-1302,Mon,0,PHY102
TP2-1202,Mon,0,MATH201
TP2-0014,Mon,0,PHY102
TP2-0608,Mon,0,PHY102
UB-1420,Mon,0,PHY102
UB-1515,Mon,0,CS101
UB-1317,Mon,0,CS101
TP2-1403,Mon,0,ENG101
TP-0401,Mon,0,MATH201
TP2-0206,Mon,0,PHY102
UB-0602,Mon,0,MATH201
TP2-0209,Mon,0,ENG101
TP2-1009,Mon,0,ENG101
